ID,Week,Block,Color,Environment,Generation,N0,Census,Check,Person,notes
43,31,4,yellow,0.95,1,40,,,,
44,31,4,yellow,0.95,1,40,52,,,
45,31,4,yellow,0.95,1,40,,,,
46,31,4,yellow,0.95,1,40,30,,,
47,31,4,yellow,0.95,1,40,,,,
48,31,4,yellow,0.95,1,40,54,,,
49,31,4,yellow,0.95,1,40,84,,,
50,31,4,yellow,0.95,1,40,,,,
1,35,1,blue,100,0,40,119,,,
2,35,1,blue,100,0,40,141,,,
3,35,1,blue,100,0,40,105,,,
4,35,1,blue,100,0,40,133,,,
5,35,1,blue,100,0,40,122,,,
6,35,1,blue,100,0,40,131,,,
7,35,1,blue,100,0,40,85,,,
8,35,1,blue,100,0,40,132,,,
9,35,1,blue,100,0,40,86,,,
10,35,1,blue,100,0,40,85,,,
11,35,1,blue,100,0,40,66,,,
12,35,1,blue,100,0,40,133,,,
13,35,1,blue,100,0,40,88,,,
14,35,1,blue,100,0,40,125,,,
15,35,1,blue,100,0,40,129,,,
16,35,1,blue,100,0,40,95,,,
17,35,1,blue,100,0,40,108,,,
18,35,1,blue,100,0,40,104,,,
19,35,1,blue,100,0,40,82,,,
20,35,1,blue,100,0,40,133,,,
1,35,1,blue,0.95,1,40,57,,,
2,35,1,blue,0.95,1,40,53,,,
3,35,1,blue,0.95,1,40,44,,,
4,35,1,blue,0.95,1,40,82,,,
5,35,1,blue,0.95,1,40,58,,,
6,35,1,blue,0.95,1,40,61,,,
7,35,1,blue,0.95,1,40,54,,,
8,35,1,blue,0.95,1,40,45,,,
9,35,1,blue,0.95,1,40,56,,,
10,35,1,blue,0.95,1,40,63,,,
11,35,1,blue,0.95,1,40,56,,,
12,35,1,blue,0.95,1,40,48,,,
13,35,1,blue,0.95,1,40,59,,,
14,35,1,blue,0.95,1,40,54,,,
15,35,1,blue,0.95,1,40,79,,,
16,35,1,blue,0.95,1,40,60,,,
1,35,2,green,100,0,40,77,,,
2,35,2,green,100,0,40,117,,,
3,35,2,green,100,0,40,52,,,
4,35,2,green,100,0,40,98,,,
5,35,2,green,100,0,40,116,,,
6,35,2,green,100,0,40,93,,,
7,35,2,green,100,0,40,119,,,
8,35,2,green,100,0,40,118,,,
9,35,2,green,100,0,40,154,,,
10,35,2,green,100,0,40,50,,,
11,35,2,green,100,0,40,93,,,
12,35,2,green,100,0,40,84,,,
13,35,2,green,100,0,40,73,,,
14,35,2,green,100,0,40,101,,,
15,35,2,green,100,0,40,80,,,
16,35,2,green,100,0,40,108,,,
